"","Status","sitagliptin","Status","sitagliptin","Status","sitagliptin","Status","sitagliptin"
"biliverdin","4.58019853904512e-05","0.353345119064769","9.51811549385028e-05","0.52345996350534","-0.168838694283799","-0.0308870938903531","OK_nc","NS"
"succinate","0.039145199712006","0.773656820157122","0.0533869708635096","0.856272886694","-0.0854419233522321","0.00957299093884286","OK_nc","NS"
"X3.hydroxybutyrate..BHBA.","0.992668094303231","0.112958294933583","0.993509659477596","0.237282362577201","-0.000386306568347816","0.0527245793441538","NS","NS"
"cholesterol","4.5536273311417e-08","0.0343738187673011","1.28200669882973e-07","0.0979942690487975","-0.22648926863077","-0.0703369818025575","OK_sd","C: Status"
"choline.phosphate","3.76244432137766e-08","0.196522122718737","1.06367436335614e-07","0.341659713854402","-0.227886789451558","-0.0429712614855601","OK_nc","NS"
"corticosterone","1.87366874417985e-22","0.0014939281449865","1.58910530365754e-21","0.00817443747075272","-0.399247838387511","-0.105420579225459","OK_sd","C: Status"
"cortisone","0.233797668486591","0.147580372008542","0.277813867019531","0.284066049383818","-0.0493222592117073","-0.0481761399963573","NS","NS"
"creatinine","0.112324662840812","0.438655059221298","0.142586124859665","0.602484732149091","-0.0657743742401691","0.0257754795840438","NS","NS"
"cysteinylglycine","0.0584857637540914","0.955622017170221","0.077580822496874","0.977963105052783","0.0783747855430448","0.00185236935502584","OK_nc","NS"
"cystine","1.19324318059577e-06","0.549588727550905","2.98751106285694e-06","0.698788668506947","0.201174826446093","0.0199162619231544","OK_nc","NS"
"sphingosine","0.000102958296795011","0.0599147720566445","0.000203665318878761","0.147557796154023","0.160862599843205","0.0625657186191378","OK_nc","NS"
"deoxycholate","6.2545280204364e-24","6.85516544072461e-06","5.77373777124639e-23","0.000101113690250688","0.417228136752525","0.148894687681485","OK_sd","C: Status"
"cystathionine","1.00842171932452e-13","0.000352219777176806","4.8015027127136e-13","0.00252890072819537","0.308124936088987","0.118532510721825","OK_sd","OK_sd"
"sphinganine","0.000275341662558753","0.18669241266529","0.000513239884742071","0.33030196086936","0.150670923613557","0.0439320126651112","OK_nc","NS"
"fumarate","0.162811480691073","0.0253278771986644","0.199760559943748","0.0773854869481927","0.0578153227364139","0.0743391479614089","NS","OK_nc"
